ZipCode,PrimaryRecord,Population,HouseholdsPerZipcode,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,MedianAge,MedianAgeMale,MedianAgeFemale,Latitude,Longitude,Elevation,State,StateFullName,CityType,CityAliasAbbreviation,AreaCode,City,CityAliasName,County,CountyFIPS,StateFIPS,TimeZone,DayLightSaving,MSA,PMSA,CSA,CBSA,CBSA_DIV,CBSA_Type,CBSA_Name,MSA_Name,PMSA_Name,Region,Division,MailingName,NumberOfBusinesses,NumberOfEmployees,BusinessFirstQuarterPayroll,BusinessAnnualPayroll,BusinessEmploymentFlag,GrowthRank,GrowingCountiesA,GrowingCountiesB,GrowthIncreaseNumber,GrowthIncreasePercentage,CBSAPopulation,CBSADivisionPopulation,CongressionalDistrict,CongressionalLandArea,DeliveryResidential,DeliveryBusiness,DeliveryTotal,PreferredLastLineKey,ClassificationCode,MultiCounty,CSAName,CBSA_Div_Name,CityStateKey,PopulationEstimate,LandArea,WaterArea,CityAliasCode,CityMixedCase,CityAliasMixedCase,BoxCount,SFDU,MFDU,StateANSI,CountyANSI,ZIPIntroDate,AliasIntroDate,FacilityCode,UniqueZIPName,CityDeliveryIndicator,CarrierRouteRateSortation,FinanceNumber
43154,P,2450,889,2415,12,5,0,0,4,0,1228,1222,2.84,118300,52028,35.7,35.3,36.2,39.614824,-82.818131,898,OH,Ohio,P,,740,STOUTSVILLE,STOUTSVILLE,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,17,55,360,1767, ,0,0,0,0,0,1674589,0,7,2848.15,1112,12,1216,X23002, ,Y,"Columbus-Marion-Chillicothe, OH",,X23002,3158,22.55,0,,Stoutsville,Stoutsville,78,1112,0,39,45,<2004-10,<2004-10,P,,N,C,387973
43155,P,2254,1077,2227,3,8,5,0,2,2,1135,1119,2.61,98100,46420,38.9,38.6,39.4,39.631179,-82.538502,898,OH,Ohio,P,,740,SUGAR GROVE,SUGAR GROVE,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,37,252,2156,9254, ,0,0,0,0,0,1674589,0,18|07,6826.47|2848.15,798,5,1046,X23019, ,Y,"Columbus-Marion-Chillicothe, OH",,X23019,2082,32.02,0.22,,Sugar Grove,Sugar Grove,211,566,0,39,45,<2004-10,<2004-10,P,,N,C,388036
43157,P,384,148,367,1,1,1,0,9,0,185,199,2.67,80700,28036,34.2,30.8,35.5,39.843741,-82.5479,898,OH,Ohio,Z,,740,THURSTON,THURSTON,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,6,29,149,719, ,0,0,0,0,0,1674589,0,7,2848.15,0,0,241,X23072,P,,"Columbus-Marion-Chillicothe, OH",,X23072,0,0.27,0,,Thurston,Thurston,230,0,0,39,45,<2004-10,<2004-10,P,,N,C,388211
43163, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7637,-82.4475,898,OH,Ohio,Z,,740,WEST RUSHVILLE,RUSHVILLE,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,N,0,0,0,0,,0,0,0,0,0,1674589,0,,,0,0,282,X29753,P,,"Columbus-Marion-Chillicothe, OH",,X22693,0,0,0,,West Rushville,Rushville,0,0,0,39,45,<2004-10,<2004-10,P,,N,C,387294
6440,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4276,-73.3558,9,CT,Connecticut,Z,,203,HAWLEYVILLE,HAWLEYVILLE,FAIRFIELD,1,9,5,Y,,,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",,,Northeast,New England,Y,4,23,163,694, ,0,0,0,0,0,899152,0,,,0,0,183,V20293,P,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20293,0,0,0,,Hawleyville,Hawleyville,135,0,0,9,1,<2004-10,<2004-10,P,,N,C,83400
6404,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3667,-73.2577,9,CT,Connecticut,Z,,203,BOTSFORD,BOTSFORD,FAIRFIELD,1,9,5,Y,,,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",,,Northeast,New England,Y,2,0,0,0,a,0,0,0,0,0,899152,0,,,0,0,566,V20060,P,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20060,0,0,0,,Botsford,Botsford,158,0,0,9,1,<2004-10,<2004-10,P,,N,C,80510
6470,P,14709,5073,13843,391,423,184,6,26,138,7666,7043,2.84,271500,91126,38.3,37.5,39.2,41.395394,-73.318419,9,CT,Connecticut,P,,203,NEWTOWN,NEWTOWN,FAIRFIELD,1,9,5,Y,5602,1930,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Danbury, CT PMSA",Northeast,New England,Y,463,6029,66875,270889, ,0,0,0,0,0,899152,0,5,1247.6,5631,419,6575,V20436, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20436,15992,36.99,0.25,,Newtown,Newtown,373,5399,98,9,1,<2004-10,<2004-10,P,,Y,D,84862
6468,P,19247,6601,18453,231,482,292,0,15,96,9452,9795,2.96,256600,85000,38.1,37.6,38.6,41.342188,-73.231554,9,CT,Connecticut,P,,203,MONROE,MONROE,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,589,5790,45894,190906, ,0,0,0,0,0,899152,0,4,456.94,6726,548,7530,V20389, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20389,19908,26.09,0.03,,Monroe,Monroe,270,5946,30,9,1,<2004-10,<2004-10,P,,N,D,84392
6468, ,19247,6601,18453,231,482,292,0,15,96,9452,9795,2.96,256600,85000,38.1,37.6,38.6,41.342188,-73.231554,9,CT,Connecticut,N,,203,MONROE,STEPNEY,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,N,589,5790,45894,190906, ,0,0,0,0,0,899152,0,4,456.94,6726,548,7530,V20389, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20674,19908,26.09,0.03,,Monroe,Stepney,270,5946,30,9,1,<2004-10,<2004-10,N,,N,D,84392
6468, ,19247,6601,18453,231,482,292,0,15,96,9452,9795,2.96,256600,85000,38.1,37.6,38.6,41.342188,-73.231554,9,CT,Connecticut,N,,203,MONROE,UPPER STEPNEY,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,N,589,5790,45894,190906, ,0,0,0,0,0,899152,0,4,456.94,6726,548,7530,V20389, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20742,19908,26.09,0.03,,Monroe,Upper Stepney,270,5946,30,9,1,<2004-10,<2004-10,N,,N,D,84392
6484,P,38101,14707,35984,428,1326,791,1,57,341,18437,19664,2.65,217300,67292,39.8,38.6,40.8,41.315669,-73.134957,9,CT,Connecticut,P,,203/860,SHELTON,SHELTON,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,1134,27219,446920,1877177, ,0,0,0,0,0,899152,0,03|04,459.15|456.94,15640,1044,17532,V20599, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20599,41446,30.56,0.67,,Shelton,Shelton,292,12466,605,9,1,<2004-10,<2004-10,P,,Y,D,86902
6491,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3833,-73.185,9,CT,Connecticut,Z,,203,STEVENSON,STEVENSON,FAIRFIELD,1,9,5,Y,,,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",,,Northeast,New England,Y,11,261,2597,11064, ,0,0,0,0,0,899152,0,,,0,0,1412,V20676,P,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20676,0,0,0,,Stevenson,Stevenson,72,0,0,9,1,<2004-10,<2004-10,P,,N,C,87820
6482,P,10322,3528,9972,46,167,167,3,9,22,5148,5174,2.98,245800,88483,36.5,36.2,36.7,41.40497,-73.249334,9,CT,Connecticut,N,,203,SANDY HOOK,SANDY HOOK,FAIRFIELD,1,9,5,Y,,,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",,,Northeast,New England,Y,164,1062,11514,57030, ,0,0,0,0,0,899152,0,04|05,456.94|1247.60,3846,131,4112,V27352, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V27352,11461,20.8,0.05,,Sandy Hook,Sandy Hook,74,3573,0,9,1,<2004-10,<2004-10,N,,Y,D,84862
6484, ,38101,14707,35984,428,1326,791,1,57,341,18437,19664,2.65,217300,67292,39.8,38.6,40.8,41.315669,-73.134957,9,CT,Connecticut,N,,203/860,SHELTON,HUNTINGTON,FAIRFIELD,1,9,5,Y,5602,1160,408,14860,,Metro,"Bridgeport-Stamford-Norwalk, CT",New York-Northern New Jersey-Long Island,"Bridgeport, CT PMSA",Northeast,New England,Y,1134,27219,446920,1877177, ,0,0,0,0,0,899152,0,03|04,459.15|456.94,15640,1044,17532,V20599, ,,"New York-Newark-Bridgeport, NY-NJ-CT-PA",,V20306,41446,30.56,0.67,,Shelton,Huntington,292,12466,605,9,1,<2004-10,<2004-10,N,,Y,D,86902
